antecedents,consequents,support,confidence,lift
"paper towels, pasta","ice cream, eggs",0.0553,0.3369,2.0196
"ice cream, eggs","paper towels, pasta",0.0553,0.3316,2.0196
"ice cream, pasta","paper towels, eggs",0.0553,0.3298,1.9878
"paper towels, eggs","ice cream, pasta",0.0553,0.3333,1.9878
"paper towels, dinner rolls","eggs, pasta",0.0518,0.3333,1.9672
"eggs, pasta","paper towels, dinner rolls",0.0518,0.3057,1.9672
"spaghetti sauce, poultry","juice, dinner rolls",0.0518,0.3026,1.9253
"juice, dinner rolls","spaghetti sauce, poultry",0.0518,0.3296,1.9253
"sandwich bags, cereals","cheeses, bagels",0.0509,0.3222,1.9215
"cheeses, bagels","sandwich bags, cereals",0.0509,0.3037,1.9215
"paper towels, ice cream","eggs, pasta",0.0553,0.3247,1.9165
"eggs, pasta","paper towels, ice cream",0.0553,0.3264,1.9165
"laundry detergent, dinner rolls","spaghetti sauce, poultry",0.0536,0.3245,1.8952
"spaghetti sauce, poultry","laundry detergent, dinner rolls",0.0536,0.3128,1.8952
"sandwich bags, bagels","cereals, cheeses",0.0509,0.3295,1.8862
"spaghetti sauce, poultry","ice cream, dinner rolls",0.0518,0.3026,1.8729
"ice cream, dinner rolls","spaghetti sauce, poultry",0.0518,0.3207,1.8729
"cereals, bagels","sandwich bags, cheeses",0.0509,0.3135,1.8502
"sandwich bags, cheeses","cereals, bagels",0.0509,0.3005,1.8502
"paper towels, pasta","eggs, dinner rolls",0.0518,0.3155,1.815
"paper towels, eggs","pasta, dinner rolls",0.0518,0.3122,1.8049
"ice cream, eggs, pasta",paper towels,0.0553,0.6495,1.7912
"toilet paper, yogurt","aluminum foil, juice",0.05,0.3081,1.7905
"soda, dinner rolls","eggs, pasta",0.0518,0.3026,1.7856
"eggs, pasta","soda, dinner rolls",0.0518,0.3057,1.7856
"yogurt, coffee/tea","cereals, cheeses",0.05,0.3115,1.7828
"poultry, laundry detergent","spaghetti sauce, dinner rolls",0.0536,0.3065,1.7813
"spaghetti sauce, dinner rolls","poultry, laundry detergent",0.0536,0.3112,1.7813
"toilet paper, aluminum foil","yogurt, juice",0.05,0.3132,1.7747
"soda, pasta","eggs, dinner rolls",0.0518,0.3057,1.7585
"yogurt, mixes","poultry, aluminum foil",0.0509,0.3085,1.757
"paper towels, ice cream, eggs",pasta,0.0553,0.6429,1.731
"sandwich bags, bagels, cereals",cheeses,0.0509,0.6744,1.7262
"soda, dinner rolls","poultry, eggs",0.0518,0.3026,1.7145
"spaghetti sauce, dinner rolls","poultry, juice",0.0518,0.301,1.7058
"spaghetti sauce, laundry detergent","poultry, dinner rolls",0.0536,0.3315,1.7009
"toilet paper, yogurt, aluminum foil",juice,0.05,0.6404,1.7004
"milk, laundry detergent","cereals, poultry",0.0509,0.3069,1.6968
"dishwashing liquid/detergent, laundry detergent","poultry, mixes",0.05,0.3065,1.6862
"cereals, laundry detergent","milk, poultry",0.0509,0.3005,1.6862
"spaghetti sauce, dinner rolls","ice cream, poultry",0.0518,0.301,1.6807
"yogurt, poultry, aluminum foil",mixes,0.0509,0.6304,1.6777
"laundry detergent, mixes","poultry, dishwashing liquid/detergent",0.05,0.3132,1.6747
"spaghetti sauce, ice cream","poultry, dinner rolls",0.0518,0.326,1.6724
"cereals, bagels, cheeses",sandwich bags,0.0509,0.6105,1.6596
"spaghetti sauce, poultry, laundry detergent",dinner rolls,0.0536,0.6421,1.6509
"spaghetti sauce, ice cream, poultry",dinner rolls,0.0518,0.6413,1.6489
"yogurt, poultry, aluminum foil",juice,0.05,0.6196,1.645
"spaghetti sauce, ice cream, dinner rolls",poultry,0.0518,0.686,1.6279
"paper towels, pasta, dinner rolls",eggs,0.0518,0.6344,1.6275
"paper towels, eggs, dinner rolls",pasta,0.0518,0.602,1.6211
"cereals, poultry, spaghetti sauce",dinner rolls,0.0509,0.6304,1.6209
"paper towels, ice cream, pasta",eggs,0.0553,0.63,1.6161
"cereals, yogurt, cheeses",coffee/tea,0.05,0.6129,1.616
"spaghetti sauce, poultry, juice",dinner rolls,0.0518,0.6277,1.6138
"soda, poultry, dinner rolls",eggs,0.0518,0.6277,1.6101
"poultry, laundry detergent, dinner rolls",spaghetti sauce,0.0536,0.598,1.6027
"cereals, poultry, laundry detergent",milk,0.0509,0.6042,1.5893
