CUSTOMERNAME,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment
"AV Stores, Co.",183,3,157807.81,3,2,4,324,9,Loyal Customers
Alpha Cognac,51,3,70488.44,4,2,2,422,8,Loyal Customers
Amica Models & Co.,252,2,94117.26,1,1,3,113,5,At Risk / Verge of Churning
"Anna's Decorations, Ltd",70,4,153996.13,4,4,4,444,12,Best Customers
Atelier graphique,175,3,24179.96,3,2,1,321,6,At Risk / Verge of Churning
"Australian Collectables, Ltd",321,2,50213.37,1,1,1,111,3,Lost Customers
"Australian Collectors, Co.",171,5,200995.41,3,4,4,344,11,Best Customers
"Australian Gift Network, Co",106,3,59469.12,3,2,1,321,6,At Risk / Verge of Churning
Auto Assoc. & Cie.,220,2,64834.32,2,1,1,211,4,Lost Customers
Auto Canal Petit,41,3,93170.66,4,2,3,423,9,Loyal Customers
Auto-Moto Classics Inc.,167,3,26479.26,3,2,1,321,6,At Risk / Verge of Churning
Baane Mini Imports,195,4,116599.19,2,4,4,244,10,Best Customers
"Bavarian Collectables Imports, Co.",246,1,34993.92,2,1,1,211,4,Lost Customers
"Blauer See Auto, Co.",195,4,85171.59,2,4,2,242,8,Loyal Customers
Boards & Toys Co.,100,2,9129.35,4,1,1,411,6,At Risk / Verge of Churning
CAF Imports,426,2,49642.05,1,1,1,111,3,Lost Customers
Cambridge Collectables Co.,376,2,36163.62,1,1,1,111,3,Lost Customers
Canadian Gift Exchange Network,209,2,75238.92,2,1,2,212,5,At Risk / Verge of Churning
"Classic Gift Ideas, Inc",217,2,67506.97,2,1,2,212,5,At Risk / Verge of Churning
Classic Legends Inc.,179,3,77795.2,3,2,2,322,7,Loyal Customers
"Clover Collections, Co.",245,2,57756.43,2,1,1,211,4,Lost Customers
Collectable Mini Designs Co.,447,2,87489.23,1,1,3,113,5,At Risk / Verge of Churning
Collectables For Less Inc.,119,3,81577.98,3,2,2,322,7,Loyal Customers
"Corrida Auto Replicas, Ltd",199,3,120615.28,2,2,4,224,8,Loyal Customers
Cruz & Sons Co.,184,3,94015.73,3,3,3,333,9,Loyal Customers
Daedalus Designs Imports,452,2,69052.41,1,1,2,112,4,Lost Customers
Danish Wholesale Imports,345,3,94950.12,1,3,3,133,7,Loyal Customers
Diecast Classics Inc.,198,3,115971.34,2,3,4,234,9,Loyal Customers
Diecast Collectables,388,2,70859.78,1,1,2,112,4,Lost Customers
"Double Decker Gift Stores, Ltd",482,2,36019.04,1,1,1,111,3,Lost Customers
"Dragon Souveniers, Ltd.",77,5,172989.68,4,4,4,444,12,Best Customers
Enaco Distributors,176,3,78411.86,3,3,2,332,8,Loyal Customers
Euro Shopping Channel,15,22,741512.5,4,4,4,444,12,Best Customers
FunGiftIdeas.com,76,3,98923.73,4,3,3,433,10,Best Customers
Gift Depot Inc.,13,3,101894.79,4,3,3,433,10,Best Customers
Gift Ideas Corp.,166,3,57294.42,3,3,1,331,7,Loyal Customers
Gifts4AllAges.com,251,2,34892.99,2,1,1,211,4,Lost Customers
Handji Gifts& Co,25,4,115498.73,4,4,4,444,12,Best Customers
